idx,TERMINAL,RAIL_CO,FRA_RRS_TO_MATCH,FRANODEID,FRA_RRS_AT_NODE,FRA_YARD_NAME,DISTANCE_TO_NODE,DISCARD,IS_CLOSEST_NODE,CLOSEST_FRANODEID,CLOSEST_DISTANCE,CLOSEST_FRA_RRS,LAT_AT_NODE,LON_AT_NODE
131,"Fort Pierce, FL","CSX, FEC",FEC,458371.0,FEC,FT PIERCE,0.06,,Y,458371,0.06,{'FEC'},27.440463587000067,-80.32252493499999
132,"Front Royal, VA - Virginia Inland Port (VIP)",NS,NS,471322.0,NS,VIRGINIA INLAND PORT,0.21,,Y,471322,0.21,{'NS'},38.98838199100004,-78.17854866799996
133,"Georgetown, KY",NS,NS,431636.0,NS,GEORGETOWN INTERMODAL,0.12,,Y,431636,0.12,{'NS'},38.273345505000066,-84.54841170699996
134,"Greencastle, PA - Franklin County Regional Intermodal Facility",NS,NS,472980.0,NS,FRANKLIN COUNTY RIF,0.12,,Y,472980,0.12,{'NS'},39.76037956500005,-77.74219174299998
135,"Greensboro, NC",NS,NS,463870.0,NS,POMONA INTERMODAL,0.03,,Y,463870,0.03,{'NS'},36.05697812600005,-79.85265272499998
136,"Harrisburg, PA",NS,NS,476934.0,"CPKC,NS",HARRISBURG,0.08,,Y,476934,0.08,"{'CPKC', 'NS'}",40.31112154500005,-76.89176417799996
137,"Houston, TX - Englewood (Wallisville Rd)",UP,UP,369692.0,UP,LOCKWOOD INTERMODAL,0.01,,Y,369692,0.01,{'UP'},29.786684429000047,-95.31745491299995
138,"Houston, TX - Kendleton",CPKC,CPKC,365783.0,CPKC,KENDLETON INTERMODAL,0.03,,Y,365783,0.03,{'CPKC'},29.459504610000067,-95.98152134099996
139,Barbours Cut Container Terminal,"BNSF, UP via PTRA",PTRA,372149.0,"PTRA,UP",,0.18,,Y,372149,0.18,"{'PTRA', 'UP'}",29.673856606000072,-95.00683130399995
140,"Houston, TX - Pearland",BNSF,BNSF,370100.0,BNSF,,0.04,,Y,370100,0.04,{'BNSF'},29.63813950100007,-95.29163789999996
141,"Houston, TX - Settegast (Kirkpatrick, Blvd)",UP,UP,370175.0,UP,SETTEGAST,0.19,,Y,370175,0.19,{'UP'},29.81180888800003,-95.28853184499997
142,"Huntsville, AL",NS,NS,421888.0,NS,HUNTSVILLE INTERMODAL,0.04,,Y,421888,0.04,{'NS'},34.641428510000026,-86.76004061899994
143,"Indianapolis, IN","CN, INRD",INRD,424529.0,INRD,SENATE AVE,0.01,,Y,424529,0.01,{'INRD'},39.748090329000036,-86.16630887099996
144,"Indianapolis, IN - Plainfield Intermodal Terminal",CSX,CSXT,423535.0,CSXT,AVON,0.1,,Y,423535,0.1,{'CSXT'},39.75722576900006,-86.37134824399999
145,"Jackson, MS","CPKC, CN","CPKC, CN",395844.0,"CPKC,CN,NS",,2.07,,,396242,0.25,{'CPKC'},32.282270109000024,-90.16958771099996
146,"Jacksonville, FL",CSX,CSXT,449104.0,CSXT,PRITCHARD,0.17,,Y,449104,0.17,{'CSXT'},30.387154029000044,-81.76836827199998
147,"Jacksonville, FL",NS,NS,449328.0,NS,SIMPSON,0.04,,Y,449328,0.04,{'NS'},30.368998932000068,-81.73110571399997
148,"Jacksonville, FL - Fowden Intermodal Terminal",FEC,FEC,450546.0,FEC,BOWDEN,0.04,,Y,450546,0.04,{'FEC'},30.257609966000075,-81.61458112299994
149,Dames Point ICTF (JaxPort),CSX,CSXT,450961.0,CSXT,,0.35,,Y,450961,0.35,{'CSXT'},30.394638902000054,-81.55909240699998
150,"Joliet, IL",CN,CN,410602.0,CN,EAST JOLIET,0.03,,Y,410602,0.03,{'CN'},41.53878621200005,-88.05786089699996
151,Kansas City - Logistics Park Kansas City (LPKC),BNSF,BNSF,372265.0,BNSF,LOGISTICS PARK KS CITY,0.67,,Y,372265,0.67,{'BNSF'},38.78425387800007,-94.97180530299994
152,"Kansas City, MO",NS,NS,376088.0,NS,VOLT MIX CENTER,0.06,,Y,376088,0.06,{'NS'},39.17896989400003,-94.43419529399995
153,"Kansas City, MO",UP,UP,375429.0,UP,NEFF,0.11,,Y,375429,0.11,{'UP'},39.12439449100003,-94.52521577899995
154,"Kansas City, MO - International Freight Gateway (IFG)","CSX, CPKC",CPKC,375160.0,CPKC,,0.26,,Y,375160,0.26,{'CPKC'},38.85926742400005,-94.55938077099995
155,"Kearny, NJ",CSX,CSXT,489252.0,"CSAO,NJRC,CSXT","MEADOWS IMF,SOUTH KEARNY",0.04,,Y,489252,0.04,"{'CSAO', 'NJRC', 'CSXT'}",40.74076724200006,-74.09865697699996
156,"Laredo, TX",CPKC,CPKC,350475.0,CPKC,SERRANO,0.21,,Y,350475,0.21,{'CPKC'},27.498557247000065,-99.39248190699999
157,"Laredo, TX",UP,UP,350300.0,UP,PORT LAREDO,0.03,,Y,350300,0.03,{'UP'},27.664616133000038,-99.46237801299998
158,"Las Vegas, NV",UP,UP,328655.0,UP,,0.05,,Y,328655,0.05,{'UP'},36.273724720000075,-115.07119522799997
159,"Lathrop, CA",UP,UP,314048.0,UP,LATHROP INTERMODAL TERMINAL,0.09,,Y,314048,0.09,{'UP'},37.837809209000056,-121.26184004199996
160,"Little Ferry, NJ",CSX,CSXT,489866.0,CSXT,LITTLE FERRY (CSXT),0.13,,,489870,0.04,{'NYSW'},40.82717313300003,-74.02317893699995
161,"Long Beach, CA - ICTF",UP,UP,321806.0,UP,ICTF,0.05,,Y,321806,0.05,{'UP'},33.808023787000025,-118.22497823199996
162,"Long Beach, CA - International Transportation Service (ITS/Pier G)",PHL,PHL,322410.0,PHL,ITS,0.08,,Y,322410,0.08,{'PHL'},33.746601131000034,-118.19080416499997
163,"Long Beach, CA - Long Beach Container Terminal (LBCT/Pier E)",PHL,PHL,322100.0,PHL,CUT,0.11,,Y,322100,0.11,{'PHL'},33.76481484300007,-118.21092524299996
164,"Long Beach, CA - Pacific Container Terminal (PCT/Pier J)",PHL,PHL,322426.0,"BNSF,PHL,UP",ITS,0.09,,Y,322426,0.09,"{'BNSF', 'PHL', 'UP'}",33.73933981700003,-118.19028975899994
